dcterms:identifier,dcterms:title,dcterms:relation ^^resource,paper:bunkenmei,paper:bunrui,paper:material,paper:person,paper:date
PEG001,PEG001構紙,,中国古籍修復紙譜(上),皮紙,構皮,段宇,
PEG001-1,PEG001構紙 観察ポイント1,PEG001,,,,,
PEG001-2,PEG001構紙 観察ポイント2,PEG001,,,,,
PEG001-3,PEG001構紙 観察ポイント3,PEG001,,,,,
PEG001-4,PEG001構紙 観察ポイント4,PEG001,,,,,
PEG001-5,PEG001構紙 観察ポイント5,PEG001,,,,,
PKG002,PKG002雁皮紙,,中国古籍修復紙譜(上),皮紙,雁皮,段宇,
PKG002-1,PKG002雁皮紙 観察ポイント1,PKG002,,,,,
PKG002-2,PKG002雁皮紙 観察ポイント2,PKG002,,,,,
PKG002-3,PKG002雁皮紙 観察ポイント3,PKG002,,,,,
PKG002-4,PKG002雁皮紙 観察ポイント4,PKG002,,,,,
PKG002-5,PKG002雁皮紙 観察ポイント5,PKG002,,,,,
PBH003,PBH003小綿紙,,中国古籍修復紙譜(上),皮紙,構皮,段宇,
PBH003-1,PBH003小綿紙 観察ポイント1,PBH003,,,,,
PBH003-2,PBH003小綿紙 観察ポイント2,PBH003,,,,,
PBH003-3,PBH003小綿紙 観察ポイント3,PBH003,,,,,
PBH003-4,PBH003小綿紙 観察ポイント4,PBH003,,,,,
PBH003-5,PBH003小綿紙 観察ポイント5,PBH003,,,,,
PBG004,PBG004大綿紙,,中国古籍修復紙譜(上),皮紙,桑皮,段宇,
PBG004-1,PBG004大綿紙 観察ポイント1,PBG004,,,,,
PBG004-2,PBG004大綿紙 観察ポイント2,PBG004,,,,,
PBG004-3,PBG004大綿紙 観察ポイント3,PBG004,,,,,
PBG004-4,PBG004大綿紙 観察ポイント4,PBG004,,,,,
PBG004-5,PBG004大綿紙 観察ポイント5,PBG004,,,,,
PCG006,PCG006薄皮紙,,中国古籍修復紙譜(上),皮紙,桑皮,段宇,
PCG006-1,PCG006薄皮紙 観察ポイント1,PCG006,,,,,
PCG006-2,PCG006薄皮紙 観察ポイント2,PCG006,,,,,
PCG006-3,PCG006薄皮紙 観察ポイント3,PCG006,,,,,
PCG006-4,PCG006薄皮紙 観察ポイント4,PCG006,,,,,
PCG006-5,PCG006薄皮紙 観察ポイント5,PCG006,,,,,
PDG007,PDG007楮皮紙,,中国古籍修復紙譜(上),皮紙,構皮,段宇,
PDG007-1,PDG007楮皮紙 観察ポイント1,PDG007,,,,,
PDG007-2,PDG007楮皮紙 観察ポイント2,PDG007,,,,,
PDG007-3,PDG007楮皮紙 観察ポイント3,PDG007,,,,,
PDG007-4,PDG007楮皮紙 観察ポイント4,PDG007,,,,,
PDG007-5,PDG007楮皮紙 観察ポイント5,PDG007,,,,,
PEG010,PEG010構皮一号,,中国古籍修復紙譜(上),皮紙,構皮,段宇,
PEG010-1,PEG010構皮一号 観察ポイント1,PEG010,,,,,
PEG010-2,PEG010構皮一号 観察ポイント2,PEG010,,,,,
PEG010-3,PEG010構皮一号 観察ポイント3,PEG010,,,,,
PEG010-4,PEG010構皮一号 観察ポイント4,PEG010,,,,,
PEG010-5,PEG010構皮一号 観察ポイント5,PEG010,,,,,
PEG011,PEG011構皮二号,,中国古籍修復紙譜(上),皮紙,構皮,段宇,
PEG011-1,PEG011構皮二号 観察ポイント1,PEG011,,,,,
PEG011-2,PEG011構皮二号 観察ポイント2,PEG011,,,,,
PEG011-3,PEG011構皮二号 観察ポイント3,PEG011,,,,,
PEG011-4,PEG011構皮二号 観察ポイント4,PEG011,,,,,
PEG011-5,PEG011構皮二号 観察ポイント5,PEG011,,,,,
PEG012,PEG012構皮二号,,中国古籍修復紙譜(上),皮紙,構皮,段宇,
PEG012-1,PEG012構皮二号 観察ポイント1,PEG012,,,,,
PEG012-2,PEG012構皮二号 観察ポイント2,PEG012,,,,,
PEG012-3,PEG012構皮二号 観察ポイント3,PEG012,,,,,
PEG012-4,PEG012構皮二号 観察ポイント4,PEG012,,,,,
PEG012-5,PEG012構皮二号 観察ポイント5,PEG012,,,,,
PEG013,PEG013構皮六号,,中国古籍修復紙譜(上),皮紙,構皮,段宇,
PEG013-1,PEG013構皮六号 観察ポイント1,PEG013,,,,,
PEG013-2,PEG013構皮六号 観察ポイント2,PEG013,,,,,
PEG013-3,PEG013構皮六号 観察ポイント3,PEG013,,,,,
PEG013-4,PEG013構皮六号 観察ポイント4,PEG013,,,,,
PEG013-5,PEG013構皮六号 観察ポイント5,PEG013,,,,,
PEG014,PEG014構皮六号,,中国古籍修復紙譜(上),皮紙,構皮,段宇,
PEG014-1,PEG014構皮六号 観察ポイント1,PEG014,,,,,
PEG014-2,PEG014構皮六号 観察ポイント2,PEG014,,,,,
PEG014-3,PEG014構皮六号 観察ポイント3,PEG014,,,,,
PEG014-4,PEG014構皮六号 観察ポイント4,PEG014,,,,,
PEG014-5,PEG014構皮六号 観察ポイント5,PEG014,,,,,
PEG015,PEG015構皮八号,,中国古籍修復紙譜(上),皮紙,構皮,段宇,
PEG015-1,PEG015構皮八号 観察ポイント1,PEG015,,,,,
PEG015-2,PEG015構皮八号 観察ポイント2,PEG015,,,,,
PEG015-3,PEG015構皮八号 観察ポイント3,PEG015,,,,,
PEG015-4,PEG015構皮八号 観察ポイント4,PEG015,,,,,
PEG015-5,PEG015構皮八号 観察ポイント5,PEG015,,,,,
PEG016,PEG016構皮十一号,,中国古籍修復紙譜(上),皮紙,構皮,段宇,
PEG016-1,PEG016構皮十一号 観察ポイント1,PEG016,,,,,
PEG016-2,PEG016構皮十一号 観察ポイント2,PEG016,,,,,
